Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Target read length]	Parameter Value[Target read length (mate 2)]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Comment[DKFZ id]	Comment[Submission]	Performer	Date	Assay Name	Raw Data File
1DNFKD-T1	Nucleic acid extraction RNA-Seq				1DNFKD_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									1DNFKD-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	12882				
1HBRFX-T1	Nucleic acid extraction RNA-Seq				1HBRFX_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									1HBRFX-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15460				
1KJALE-T1	Nucleic acid extraction RNA-Seq				1KJALE_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									1KJALE-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	13072				
27H5QX-T1	Nucleic acid extraction RNA-Seq				27H5QX_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									27H5QX-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	7408				
2GW26G-T1	Nucleic acid extraction RNA-Seq				2GW26G_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									2GW26G-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R?	NA				
2WUY1M-T1	Nucleic acid extraction RNA-Seq				2WUY1M_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									2WUY1M-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	6752				
3P8R41-T1	Nucleic acid extraction RNA-Seq				3P8R41_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									3P8R41-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	14928				
41BGDM-T1	Nucleic acid extraction RNA-Seq				41BGDM_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									41BGDM-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	NovaSeq 6000			Phred+33	DKFZ Heidelberg		T4-R1	17127				
4JAR3C-T1	Nucleic acid extraction RNA-Seq				4JAR3C_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									4JAR3C-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	14114				
4ULMTM-T1	Nucleic acid extraction RNA-Seq				4ULMTM_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									4ULMTM-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	15580				
